	phone	review
1	Nokia 105 (Black Color)	very ordinary phone for daily use and if you are having having thoughts of buying a secondary phone just for calling then just go blindly and purchase it pros 1 battery life more then expected after using smartphone we are addicted to charge our phones for atleast once in a day not for this there is no need to charge it for atleast 2 days 2 look copy of lumia to give you the feel of it 3 sar value is very low when compared to other basic phones 4 multiple alarms 5 bright colorful themes 6 the dialed button has the option for all the recent dialed received and missed this feature is not present in most of previous nokia basic model phones 7 and most importantly 34rapid rolling34 baby oh yeah 8 pro for me as vibration is very much high and much needed if you are travelling and spend most of the hours outside 9 and 35 mm jack for the radio  and sadly cons 1 very small screen 2 not much of ringtone selection
2	Nokia 105 (Black Color)	this rating for vendor please blacklist this vendor i would love shop on amazon as there customer support is outstanding
3	Nokia 105 (Black Color)	an inexpensive phone which looks cheap but gives you what a phone is intended to and nothing else major pros 1no stress of loosing your phone be it by theft or breakage 2no bugs viruses screen issues or functionality issues it does not have much functionality to attract issues   3if it falls down  just pick it up fix the battery close the lid  and you are back in business and you dont miss a heartbeat which you would if it were a 25k smartphone minor pros 1phone calling and receiving  with ok volume of sound 2basic messaging 3torch for night reading 4wakeup alarm minor con 1you have to keep it hidden for all else most of which are redundant smartphone features  i have a laptop  which is open and connected in front of me in office and home 16 hrs a day rest of the time i sleep
4	Nokia 105 (Black Color)	no doubt product is value for money also i followed one trick got in review of amazon to get 30 off it works for me but got 25 off let it be just add 34taggetoff062134 at the end of link and use that link complete your formalities tadddaaaaaa discount will deducted in final price d d happy sometimes it dont work but doesnt matter xd this trick is working on most of amazon indias product give a try d enjoy eshopping happy d xd was this review helpful to you click 34yes34 so that the review come forward to all viewers and others also will get benefits of it 
5	Nokia 105 (Black Color)	literally i bought this phone only to make calls from my secondary sim card which is a lot cheaper compared to my primary sim and this smart little basic phone really provides me a lot of talktime the battery strength of this phone is  quite awesome when compared to my smartphone i make pretty much calls during the day and its battery status would have only two bars gone from the whole i havent tested the standby strength of this gadget as i am always using it though i think it will last really long as making so many calls a day leaves me so much battery behind the call quality  is good and is a good companion to make calls 24 hours a day the keypad of this phone is made of durable material and is dust and water proof obviously the phone is not  the body is made of durable plastic but attracts lots of scratches with daily use this phone is not good for hardcore texting because most of the group texts that i sent had failed and the phone shows hitches when sending quick texts  all in all this phone is really good for making calls listening to radio light texting mini gaming and playing with fingers
6	Nokia 105 (Black Color)	because of its durability this phone has basic feature required for a normal user very nice one at this price
7	Nokia 105 (Black Color)	was looking for such phone rocksolid sturdy phone especially my kid can now play with the original phone and not dummy one 
8	Nokia 105 (Black Color)	my mistake i went by the name nokia and thought it to be a decent product the phone is a complete waste of money the problems with the phone and amazon services are as below 1 the phone call quality is pathetic person at the other end is never able to figure out what i am talking in the first go 2 phone does not come with earphones 3 whatever is suppose to be there in the box is not there i think somebody must have tempered with the box 4 delivery boy who was sent to deliver the product was very rude and completely informal  amazon has to seriously look for having a quality check before they dispatch any product otherwise its gonna loose huge chunk of customer base
9	Nokia 105 (Black Color)	total waste of money i bought this as a standby fone thinking nokia is a brand and has been building sturdy rugged phones for quite a long time but this phone has changed my perspective  as per the price you cant expect much but at least decent quality is expected from this brand  mammoth battery life  problems i faced with this phone the vibrator is louder than the ringtone the whole housing gives a weird loud sound i get a distracting feedback echo of my voice loud and clear while talking which is the worst problem ive ever faced i can hardly hear the person i am talking to  i would rather give a treat to my friends than buy this crap
10	Nokia 105 (Black Color)	a very bare basic phone that does the job it is assigned to do make calls type messages and you are using this phone to the maximum voice quality is at acceptable levels so is the ringer quality the led torch is almost nonexistent and there are no other features in this phone to write about
11	Nokia 105 (Black Color)	excellent seller value for money fantastic product well done keep it up
12	Nokia 105 (Black Color)	great product value for money using it for last five months without any issues
13	Nokia 105 (Black Color)	nice back up phone battery back up of 3 weeks value for money
14	Nokia 105 (Black Color)	liked it good one for the pricebest in arrange            
15	Nokia 105 (Black Color)	amazing actually i liked its rigtone nokia ringtone flash light is not good for this price its ok my mom told that 34she cant easily read text on it34 due to her old age for this price the phone is actually good
